# Microsoft Start
65.55.163.79	account.live.com
23.44.152.70	auth.gfx.ms
134.170.108.26	onedrive.live.com
134.170.108.154	onedrive.live.com
134.170.104.90	onedrive.live.com
134.170.107.154	onedrive.live.com
134.170.107.26	onedrive.live.com
134.170.104.232	skyapi.onedrive.live.com
134.170.105.24	skyapi.onedrive.live.com
134.170.105.72	skyapi.onedrive.live.com
134.170.104.104	skyapi.onedrive.live.com
134.170.109.72	skyapi.onedrive.live.com
134.170.108.200	skyapi.onedrive.live.com
134.170.108.24	storage.live.com
134.170.30.15	people.live.com
134.170.30.15	profile.live.com
23.2.2.67	p.sfx.ms
23.37.149.229	s1-word-view-15.cdn.office.net
23.37.149.229	s1-officeapps-15.cdn.office.net
23.37.149.229	s1-word-edit-15.cdn.office.net
23.37.149.229	s1-excel-15.cdn.office.net
23.37.149.229	s1-powerpoint-15.cdn.office.net
23.37.149.229	s1-onenote-15.cdn.office.net
131.253.61.68	login.live.com
# Microsoft End

# Box.com Start
50.57.8.154	support.box.com
74.112.184.70	app.box.com
74.112.184.90	box.com
74.112.185.138	www.box.net
74.112.185.182	www.box.com
# Box.com End

# SoundCloud Start
178.249.136.161	visuals.soundcloud.com
203.190.124.16	secure.quantserve.com
203.190.124.18	pixel.quantserve.com
208.111.171.129	soundcloud.hs.llnwd.net
23.207.123.120	sb.scorecardresearch.com
54.76.28.15	eventlogger.soundcloud.com
62.161.94.230	logs1403.xiti.com
68.232.44.127	api.soundcloud.com
68.232.44.127	soundcloud.com
68.232.44.96	a-v2.sndcdn.com
68.232.45.96	ec-media.soundcloud.com
72.21.91.127	m.soundcloud.com
# SoundCloud End

# inoreader Start
78.83.7.11	www.inoreader.com
78.83.7.11	inoreader.com
# inoreader End

# feedly Start
162.159.252.5	www.feedly.com
162.159.252.5	feedly.com
74.125.204.121	s3.feedly.com
64.233.166.141	feedly-beta.appspot.com
# feedly End

# FlipBoard Start
23.23.72.70	fbprod.flipboard.com
54.230.150.180	cdn.flipboard.com
54.225.133.17	beacon.flipboard.com
# FlipBoard End

# Twitter Start
185.45.5.32	twitter.com
185.45.5.32	www.twitter.com
199.16.158.13	mobile.twitter.com
199.16.158.9	api.twitter.com
199.16.158.19	urls-real.api.twitter.com
199.16.158.12	t.co
199.16.158.11	tweetdeck.com
199.16.158.11	www.tweetdeck.com
199.16.158.11	tdweb.twitter.com
199.16.158.11	api.tweetdeck.com
199.16.158.11	downloads.tweetdeck.com
199.16.158.11	tweetdeck.twitter.com
199.16.158.11	web.tweetdeck.com
23.44.161.224	p.twitter.com
199.96.57.7	pbs.twimg.com
23.44.161.224	cdn.api.twitter.com
23.44.161.224	platform.twitter.com
23.44.161.224	preview.cdn.twitter.com
199.16.158.18	image-proxy-origin.twimg.com
199.59.150.46	syndication.twitter.com
199.59.150.46	syndication.twimg.com
199.59.150.46	cdn.syndication.twitter.com
199.59.150.46	cdn.syndication.twimg.com
199.59.150.46	syndication-o.twitter.com
199.59.150.46	syndication-o.twimg.com
199.96.57.7	a0.twimg.com
199.96.57.7	a1.twimg.com
199.96.57.7	abs.twimg.com
199.96.57.7	p.twimg.com
199.16.158.15	r.twimg.com
199.96.57.7	si0.twimg.com
199.96.57.7	si1.twimg.com
199.96.57.7	si2.twimg.com
199.96.57.7	si3.twimg.com
199.96.57.7	si4.twimg.com
199.96.57.7	si5.twimg.com
199.16.158.14	support.twitter.com
199.16.158.10	blog.twitter.com
199.16.158.10	about.twitter.com
199.16.158.10	pic.twitter.com
199.16.158.10	stream.twitter.com
199.16.158.10	sitestream.twitter.com
199.16.158.10	betastream.twitter.com
199.16.158.20	upload.twitter.com
199.16.158.10	dev.twitter.com
199.16.158.81	userstream.twitter.com
209.17.68.209	oi40.tinypic.com
209.17.68.209	oi41.tinypic.com
209.17.68.209	oi42.tinypic.com
209.17.68.209	oi43.tinypic.com
209.17.68.209	oi44.tinypic.com
209.17.68.209	oi45.tinypic.com
209.17.68.209	oi46.tinypic.com
209.17.68.209	oi47.tinypic.com
209.17.68.209	oi48.tinypic.com
209.17.68.209	oi49.tinypic.com
209.17.68.209	oi50.tinypic.com
209.17.68.209	oi51.tinypic.com
209.17.68.209	oi52.tinypic.com
209.17.68.209	oi53.tinypic.com
209.17.68.209	oi54.tinypic.com
209.17.68.209	oi55.tinypic.com
209.17.68.209	oi56.tinypic.com
96.127.160.130	twitpic.com
96.127.160.130	m1.twitpic.com
96.127.160.130	web1.twitpic.com
96.127.160.130	web2.twitpic.com
96.127.160.130	web3.twitpic.com
96.127.160.130	web4.twitpic.com
96.127.160.130	web5.twitpic.com
96.127.160.130	web6.twitpic.com
96.127.160.130	web7.twitpic.com
96.127.160.130	web8.twitpic.com
96.127.160.130	web9.twitpic.com
96.127.160.130	web10.twitpic.com
# Twitter End

# Yahoo Start
106.10.136.195	de.yahoo.com
106.10.137.175	geo.query.yahoo.com
106.10.137.23	static.flickr.com
106.10.138.240	hk.yahoo.com
106.10.138.240	tw.yahoo.com
106.10.138.240	www.yahoo.com
106.10.193.20	edit.yahoo.com
106.10.193.20	login.yahoo.com
106.10.193.20	mail.yahoo.com
106.10.193.20	na.edit.yahoo.com
106.10.193.20	open.login.yahoo.com
106.10.193.20	sa.edit.yahoo.com
106.10.193.30	sp.analytics.yahoo.com
106.10.199.10	hk.news.yahoo.com
106.10.199.11	tw.news.yahoo.com
106.10.199.78	d.yimg.com
106.10.199.78	e.yimg.com
106.10.199.78	h.yimg.com
106.10.199.78	l.yimg.com
106.10.199.78	p.yimg.com
106.10.199.78	s.yimg.com
119.161.9.151	c5.ah.yahoo.com
121.101.144.112	api.flickr.com
121.101.144.116	up.flickr.com
124.108.101.10	www.flickr.com
124.108.120.124	sa.edit.yahoo.com
124.108.97.193	login.yahoo.com
204.0.5.34	us.js2.yimg.com
204.0.5.35	content.yieldmanager.edgesuite.net
206.190.39.139	hsrd.yahoo.com
208.71.44.31	m.flickr.com
208.71.44.31	secure.flickr.com
209.191.105.102	adjax.flickr.yahoo.com
209.191.92.115	edit.yahoo.com
216.39.54.34	gq1.farm3.staticflickr.com
23.62.109.75	us.js2.yimg.com
66.163.168.247	open.login.yahoo.com
67.195.19.62	gq1.farm4.staticflickr.com
67.195.19.65	gq1.farm5.staticflickr.com
